club_id,nombre,instagram_handle,web_url
C0001,Prez - Jazz & Music Club,@prez.jazz,https://prez.ar/
C0002,Bebop Club (Palermo),@bebopclub,https://www.bebopclub.com.ar/
C0003,Thelonious Club,@theloniousbuenosaires,https://thelonious.com.ar/
C0004,Virasoro Bar,@virasoro_bar,https://www.virasorobar.com.ar/
C0005,Jazz Voyeur Club,@jazzvoyeurba,https://jazzvoyeur.com.ar/
C0006,The Lift 1967,@thelift1967,https://www.thelift1967.com.ar/
C0007,Centro Cultural Nueva Uriarte (CCNU),@ccnuevauriarte,https://ccnuevauriarte.com.ar/
C0008,Bar de Fondo Cultural,@bardefondocultural,https://galeriabardefondo.com.ar/
C0009,Nempla,@nempla,https://lanempla.com/
C0010,Swing City Jazz Club,@swingcity.ba,https://www.swingcity.com.ar/
C0011,Café Berlín Buenos Aires,@cafeberlinbuenosaires,https://www.cafeberlinbuenosaires.com.ar/
C0013,Borges 1975 (Espacio Cultural),@borges1975.espacio.cultural,https://www.borges1975.com/
C0014,La Biblioteca Café,@bibliotecacafemusica,https://labibliotecacafe.com.ar/
C0019,Centro Cultural Cuerda Mecánica,@cuerdamecanica,https://cuerdamecanica.com/
C0020,Cultural Morán,@culturalmoran,https://www.culturalmoran.com/
C0021,Borges 1975 (Espacio Cultural),@borges1975.espacio.cultural,https://www.borges1975.com/
C0022,Pista Urbana,@pista_urbana,https://pistaurbana.com.ar/
C0023,Bargoglio,@bargoglio,https://bargoglio.com.ar/
C0028,Sótano (C Art Media),@elsotanodec,https://www.ccomplejoartmedia.com.ar/
C0032,La Hormiga de Oro,@lahormigadeoro,http://www.espaciolahormigadeoro.com
C0034,Teatro El Alambique,@elalambiquecultural,https://teatroelalambique.com/
C0036,Café Vinilo,@cafeviniloba,https://cafevinilo.com.ar/
C0037,The Library Lounge (Faena),@faenabsas,https://www.faena.com/buenos-aires/dining/the-library-lounge
C0038,CAFF (Club Atlético Fernández Fierro),@caff.ar,https://caff.ar/
C0040,Bar Conde,,https://festivalesba.org/bar/bar-conde/
C0045,Hot Club de Boedo (proyecto),,https://hotclubdeboedo.blogspot.com/
C0047,La Carbonera San Telmo,@lacarbonera.santelmo,https://lacarbonerasantelmo.com/
C0048,Los Pompapetriyasos / Los Pompas (Parque Patricios),@lospompas,https://pompapetriyasos.com.ar/
C0051,Club Social Deluxe,@clubsocialdeluxe,https://holasantelmo.ar/club-social-deluxe/
C0052,Bar Los Laureles,@barloslaureles,https://barloslaureles.negocio.site/
C0055,Espacio Cultural Adán Buenosayres,@ecadanbuenosayres,https://buenosaires.gob.ar/cultura/promocion-cultural/programacion-adan-buenosayres
C0056,El Fino Jazz Club,@elfinojazzclub,https://www.alternativateatral.com/espacio570-el-fino-espacio-escenico
C0057,Artlab,@artlabpro,https://artlabpro.net/
